Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
22/02/2018 0:00;DE 13:00 A 13:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE FUENCARRAL A ALCOBENDAS KM.                                                            ;1200;COLISIÓN DOBLE                          ;BICICLETA                               
22/02/2018 0:00;DE 14:00 A 14:59;1;PUENTE DE VALLECAS            ;AVENIDA DE BUENOS AIRES - AVENIDA DE MIGUEL HERNANDEZ                                               ;;COLISIÓN DOBLE                          ;BICICLETA                               
23/02/2018 0:00;DE 12:00 A 12:59;1;USERA                         ;CALLE DE DOLORES BARRANCO - CALLE DEL OLVIDO                                                        ;;COLISIÓN DOBLE                          ;BICICLETA                               
23/02/2018 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE DE LA BENEFICENCIA                                                                        ;8;ATROPELLO                               ;BICICLETA                               
24/02/2018 0:00;DE 14:00 A 14:59;1;CHAMARTIN                     ;CALLE DEL PADRE DAMIAN                                                                          ;5;CAÍDA BICICLETA                         ;BICICLETA                               
24/02/2018 0:00;DE 20:00 A 20:59;1;PUENTE DE VALLECAS            ;CALLE DE BENJAMIN PALENCIA                                                                      ;18;COLISIÓN DOBLE                          ;BICICLETA                               
25/02/2018 0:00;DE 10:00 A 10:59;2;LATINA                        ;PARQUE DE LA CASA DE CAMPO                                                                          ;;ATROPELLO                               ;BICICLETA                               
25/02/2018 0:00;DE 12:00 A 12:59;1;SAN BLAS                      ;AVENIDA DE CANILLEJAS A VICALVARO                                                               ;1;COLISIÓN DOBLE                          ;BICICLETA                               
25/02/2018 0:00;DE 23:00 A 23:59;1;SALAMANCA                     ;CALLE DE ALCALA - CALLE DE VELAZQUEZ                                                                ;;COLISIÓN DOBLE                          ;BICICLETA                               
26/02/2018 0:00;DE 19:00 A 19:59;1;CHAMBERI                      ;CALLE DE ALONSO CANO - CALLE DE CRISTOBAL BORDIU                                                    ;;CAÍDA BICICLETA                         ;BICICLETA                               
26/02/2018 0:00;DE 21:00 A 21:59;1;RETIRO                        ;CALLE DEL DOCTOR VELASCO                                                                        ;4;COLISIÓN DOBLE                          ;BICICLETA                               
27/02/2018 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE DE LA CAVA BAJA                                                                           ;25;COLISIÓN DOBLE                          ;BICICLETA                               
28/02/2018 0:00;DE 2:00 A 2:59;1;CENTRO                        ;CALLE DE TRIBULETE - PLAZA DE LAVAPIES                                                              ;;COLISIÓN DOBLE                          ;BICICLETA                               
